week_date,metric,score
2024-06-16,Value,4.7
2024-06-16,Value for Price,4.8
2024-06-16,Working order of hotel amenities,4.0
2024-06-23,Bar staff service,
2024-06-23,Cleanliness,5.0
2024-06-23,Efficiency of check-in process,
2024-06-23,Hotel cleanliness,7.4
2024-06-23,Knowledge of front desk staff,
2024-06-23,Likelihood To Recommend,6.4
2024-06-23,Likelihood to Recommend,-5.6
2024-06-23,Likelihood to Return,5.9
2024-06-23,Location,4.2
2024-06-23,Overall Satisfaction with Service,7.0
2024-06-23,Overall Score,3.7
2024-06-23,Overall arrival experience,7.8
2024-06-23,Overall bar experience,
2024-06-23,Overall departure experience,8.2
2024-06-23,Overall experience,
2024-06-23,Overall food & beverage,7.2
2024-06-23,Overall guest room,
2024-06-23,Overall guest room cleanliness,
2024-06-23,Overall meeting and event experience,
2024-06-23,Overall restaurant experience,8.1
2024-06-23,Quality of food and beverage,
2024-06-23,Restaurant staff service,8.5
2024-06-23,Rooms,5.0
2024-06-23,Sample Size (Red = less than 75),18.0
2024-06-23,Sample size,36.0
2024-06-23,Service,4.0
2024-06-23,Sleep Quality,4.3
2024-06-23,Staff service,
2024-06-23,Value,4.3
2024-06-23,Value for Price,6.1
2024-06-23,Working order of hotel amenities,7.1
2024-06-30,Bar staff service,
2024-06-30,Cleanliness,
2024-06-30,Efficiency of check-in process,
2024-06-30,Hotel cleanliness,7.0
2024-06-30,Knowledge of front desk staff,
2024-06-30,Likelihood To Recommend,8.5
2024-06-30,Likelihood to Recommend,50.0
2024-06-30,Likelihood to Return,8.0
2024-06-30,Location,
2024-06-30,Overall Satisfaction with Service,7.5
2024-06-30,Overall Score,4.5
2024-06-30,Overall arrival experience,7.0
2024-06-30,Overall bar experience,
2024-06-30,Overall departure experience,9.5
2024-06-30,Overall experience,
2024-06-30,Overall food & beverage,9.0
2024-06-30,Overall guest room,
2024-06-30,Overall guest room cleanliness,
2024-06-30,Overall meeting and event experience,
2024-06-30,Overall restaurant experience,8.0
2024-06-30,Quality of food and beverage,
2024-06-30,Restaurant staff service,8.0
2024-06-30,Rooms,
2024-06-30,Sample Size (Red = less than 75),2.0
2024-06-30,Sample size,4.0
2024-06-30,Service,
2024-06-30,Sleep Quality,
2024-06-30,Staff service,
2024-06-30,Value,
2024-06-30,Value for Price,8.5
2024-06-30,Working order of hotel amenities,8.5
2024-07-07,Bar staff service,6.8
2024-07-07,Cleanliness,
2024-07-07,Hotel cleanliness,7.8
2024-07-07,Likelihood To Recommend,7.2
2024-07-07,Likelihood to Recommend,21.4
2024-07-07,Likelihood to Return,6.9
2024-07-07,Location,
2024-07-07,Overall Satisfaction with Service,7.2
2024-07-07,Overall Score,4.0
2024-07-07,Overall arrival experience,7.5
2024-07-07,Overall bar experience,7.1
2024-07-07,Overall departure experience,7.9
2024-07-07,Overall experience,5.7
2024-07-07,Overall food & beverage,6.9
2024-07-07,Overall meeting and event experience,6.0
2024-07-07,Overall restaurant experience,7.2
2024-07-07,Quality of food and beverage,6.9
2024-07-07,Restaurant staff service,7.1
2024-07-07,Rooms,
2024-07-07,Sample Size (Red = less than 75),14.0
2024-07-07,Sample size,30.0
2024-07-07,Service,
2024-07-07,Sleep Quality,
2024-07-07,Staff service,5.7
2024-07-07,Value,
2024-07-07,Value for Price,6.9
2024-07-07,Working order of hotel amenities,7.0
2024-07-14,Bar staff service,8.6
2024-07-14,Cleanliness,4.0
2024-07-14,Hotel cleanliness,8.0
2024-07-14,Likelihood To Recommend,6.2
2024-07-14,Likelihood to Recommend,-12.5
2024-07-14,Likelihood to Return,5.8
2024-07-14,Location,2.0
2024-07-14,Overall Satisfaction with Service,7.1
2024-07-14,Overall Score,3.7
2024-07-14,Overall arrival experience,7.6
2024-07-14,Overall bar experience,8.3
2024-07-14,Overall departure experience,8.0
2024-07-14,Overall experience,
2024-07-14,Overall food & beverage,6.9
2024-07-14,Overall meeting and event experience,10.0
2024-07-14,Overall restaurant experience,8.3
2024-07-14,Quality of food and beverage,7.6
2024-07-14,Restaurant staff service,8.8
2024-07-14,Rooms,3.0
2024-07-14,Sample Size (Red = less than 75),24.0
2024-07-14,Sample size,30.0
2024-07-14,Service,4.0
2024-07-14,Sleep Quality,1.0
2024-07-14,Staff service,
2024-07-14,Value,2.0
2024-07-14,Value for Price,6.1
2024-07-14,Working order of hotel amenities,6.7
2024-07-21,Bar staff service,7.2
2024-07-21,Cleanliness,3.0
2024-07-21,Hotel cleanliness,6.9
2024-07-21,Likelihood To Recommend,5.6
2024-07-21,Likelihood to Recommend,-33.3
2024-07-21,Likelihood to Return,4.5
2024-07-21,Location,5.0
2024-07-21,Overall Satisfaction with Service,6.1
2024-07-21,Overall Score,4.2
2024-07-21,Overall arrival experience,6.7
2024-07-21,Overall bar experience,6.6
2024-07-21,Overall departure experience,7.5
2024-07-21,Overall experience,3.0
2024-07-21,Overall food & beverage,6.5
2024-07-21,Overall meeting and event experience,
2024-07-21,Overall restaurant experience,7.6
2024-07-21,Quality of food and beverage,7.2
2024-07-21,Restaurant staff service,7.5
2024-07-21,Rooms,1.0
2024-07-21,Sample Size (Red = less than 75),21.0
2024-07-21,Sample size,21.0
2024-07-21,Service,3.5
2024-07-21,Sleep Quality,1.0
2024-07-21,Staff service,3.5
2024-07-21,Value,4.0
2024-07-21,Value for Price,5.2
2024-07-21,Working order of hotel amenities,7.0
2024-07-28,Bar staff service,8.2
2024-07-28,Cleanliness,
2024-07-28,Hotel cleanliness,7.9
2024-07-28,Likelihood To Recommend,6.8
2024-07-28,Likelihood to Recommend,4.0
2024-07-28,Likelihood to Return,6.4
2024-07-28,Location,
2024-07-28,Overall Satisfaction with Service,7.8
2024-07-28,Overall Score,4.6
2024-07-28,Overall arrival experience,7.7
2024-07-28,Overall bar experience,7.1
2024-07-28,Overall departure experience,9.0
2024-07-28,Overall experience,10.0
2024-07-28,Overall food & beverage,7.9
2024-07-28,Overall meeting and event experience,5.5
2024-07-28,Overall restaurant experience,7.1
2024-07-28,Quality of food and beverage,7.3
2024-07-28,Restaurant staff service,7.8
2024-07-28,Rooms,
2024-07-28,Sample Size (Red = less than 75),25.0
2024-07-28,Sample size,18.0
2024-07-28,Service,
2024-07-28,Sleep Quality,
2024-07-28,Staff service,10.0
2024-07-28,Value,
2024-07-28,Value for Price,6.5
2024-07-28,Working order of hotel amenities,7.4
2024-08-04,Bar staff service,9.2
2024-08-04,Cleanliness,5.0
2024-08-04,Hotel cleanliness,8.5
2024-08-04,Likelihood To Recommend,7.4
2024-08-04,Likelihood to Recommend,3.7
2024-08-04,Likelihood to Return,6.8
2024-08-04,Location,5.0
2024-08-04,Overall Satisfaction with Service,7.9
2024-08-04,Overall Score,4.3
2024-08-04,Overall arrival experience,7.9
2024-08-04,Overall bar experience,9.0
2024-08-04,Overall departure experience,9.0
2024-08-04,Overall experience,10.0
2024-08-04,Overall food & beverage,7.6
2024-08-04,Overall meeting and event experience,8.4
2024-08-04,Overall restaurant experience,7.8
2024-08-04,Quality of food and beverage,8.4
2024-08-04,Restaurant staff service,7.7
2024-08-04,Rooms,5.0
2024-08-04,Sample Size (Red = less than 75),27.0
2024-08-04,Sample size,25.0
2024-08-04,Service,5.0
2024-08-04,Sleep Quality,5.0
2024-08-04,Staff service,10.0
2024-08-04,Value,5.0
2024-08-04,Value for Price,6.9
2024-08-04,Working order of hotel amenities,6.9
2024-08-11,Bar staff service,8.6
2024-08-11,Cleanliness,
2024-08-11,Hotel cleanliness,8.0
2024-08-11,Likelihood To Recommend,8.0
2024-08-11,Likelihood to Recommend,27.3
2024-08-11,Likelihood to Return,7.9
2024-08-11,Location,
2024-08-11,Overall Satisfaction with Service,7.9
2024-08-11,Overall Score,3.9
2024-08-11,Overall arrival experience,8.5
2024-08-11,Overall bar experience,8.7
2024-08-11,Overall departure experience,8.7
2024-08-11,Overall experience,6.0
2024-08-11,Overall food & beverage,7.5
2024-08-11,Overall meeting and event experience,
2024-08-11,Overall restaurant experience,8.4
2024-08-11,Quality of food and beverage,8.1
2024-08-11,Restaurant staff service,8.0
2024-08-11,Rooms,
2024-08-11,Sample Size (Red = less than 75),11.0
2024-08-11,Sample size,17.0
2024-08-11,Service,
2024-08-11,Sleep Quality,
2024-08-11,Staff service,8.0
2024-08-11,Value,
2024-08-11,Value for Price,7.3
2024-08-11,Working order of hotel amenities,7.5
2024-08-18,Bar staff service,8.5
2024-08-18,Cleanliness,5.0
2024-08-18,Hotel cleanliness,7.3
2024-08-18,Likelihood To Recommend,6.6
2024-08-18,Likelihood to Recommend,-4.8
2024-08-18,Likelihood to Return,5.8
2024-08-18,Location,5.0
2024-08-18,Overall Satisfaction with Service,7.0
2024-08-18,Overall Score,4.4
2024-08-18,Overall arrival experience,7.8
2024-08-18,Overall bar experience,8.4
2024-08-18,Overall departure experience,7.8
2024-08-18,Overall experience,9.5
2024-08-18,Overall food & beverage,7.7
2024-08-18,Overall meeting and event experience,
2024-08-18,Overall restaurant experience,7.2
2024-08-18,Quality of food and beverage,8.3
2024-08-18,Restaurant staff service,7.1
2024-08-18,Rooms,5.0
2024-08-18,Sample Size (Red = less than 75),21.0
2024-08-18,Sample size,18.0
2024-08-18,Service,5.0
2024-08-18,Sleep Quality,5.0
2024-08-18,Staff service,10.0
2024-08-18,Value,5.0
2024-08-18,Value for Price,6.2
2024-08-18,Working order of hotel amenities,6.6
2024-08-25,Bar staff service,8.7
2024-08-25,Cleanliness,3.0
2024-08-25,Hotel cleanliness,8.6
2024-08-25,Likelihood To Recommend,7.6
2024-08-25,Likelihood to Recommend,31.2
2024-08-25,Likelihood to Return,7.1
2024-08-25,Location,3.0
2024-08-25,Overall Satisfaction with Service,7.8
2024-08-25,Overall Score,3.9
2024-08-25,Overall arrival experience,8.6
2024-08-25,Overall bar experience,8.2
2024-08-25,Overall departure experience,9.2
2024-08-25,Overall experience,10.0
2024-08-25,Overall food & beverage,8.6
2024-08-25,Overall meeting and event experience,10.0
2024-08-25,Overall restaurant experience,8.6
2024-08-25,Quality of food and beverage,8.6
2024-08-25,Restaurant staff service,8.4
2024-08-25,Rooms,3.0
2024-08-25,Sample Size (Red = less than 75),16.0
2024-08-25,Sample size,21.0
2024-08-25,Service,4.0
2024-08-25,Sleep Quality,2.0
2024-08-25,Staff service,10.0
2024-08-25,Value,3.0
2024-08-25,Value for Price,6.9
2024-08-25,Working order of hotel amenities,7.0
2024-09-01,Bar staff service,8.0
2024-09-01,Cleanliness,3.0
2024-09-01,Hotel cleanliness,8.2
2024-09-01,Likelihood To Recommend,7.1
2024-09-01,Likelihood to Recommend,5.0
2024-09-01,Likelihood to Return,6.4
2024-09-01,Location,3.0
2024-09-01,Overall Satisfaction with Service,7.8
2024-09-01,Overall Score,2.9
2024-09-01,Overall arrival experience,7.6
2024-09-01,Overall bar experience,8.0
2024-09-01,Overall departure experience,8.8
2024-09-01,Overall experience,9.0
2024-09-01,Overall food & beverage,8.4
2024-09-01,Overall meeting and event experience,
2024-09-01,Overall restaurant experience,8.5
2024-09-01,Quality of food and beverage,8.0
2024-09-01,Restaurant staff service,8.8
2024-09-01,Rooms,2.0
2024-09-01,Sample Size (Red = less than 75),20.0
2024-09-01,Sample size,28.0
2024-09-01,Service,1.0
2024-09-01,Sleep Quality,3.0
2024-09-01,Staff service,9.0
2024-09-01,Value,2.0
2024-09-01,Value for Price,5.8
2024-09-01,Working order of hotel amenities,6.8
2024-09-08,Bar staff service,8.3
2024-09-08,Cleanliness,
2024-09-08,Hotel cleanliness,8.2
2024-09-08,Likelihood To Recommend,7.4
2024-09-08,Likelihood to Recommend,18.2
2024-09-08,Likelihood to Return,7.6
2024-09-08,Location,
2024-09-08,Overall Satisfaction with Service,7.5
2024-09-08,Overall Score,4.4
2024-09-08,Overall arrival experience,8.2
2024-09-08,Overall bar experience,8.4
2024-09-08,Overall departure experience,8.2
2024-09-08,Overall experience,7.5
2024-09-08,Overall food & beverage,7.8
2024-09-08,Overall meeting and event experience,10.0
2024-09-08,Overall restaurant experience,8.1
2024-09-08,Quality of food and beverage,8.0
2024-09-08,Restaurant staff service,8.7
2024-09-08,Rooms,
2024-09-08,Sample Size (Red = less than 75),11.0
2024-09-08,Sample size,15.0
2024-09-08,Service,
2024-09-08,Sleep Quality,
2024-09-08,Staff service,9.5
2024-09-08,Value,
2024-09-08,Value for Price,6.6
2024-09-08,Working order of hotel amenities,7.7
2024-09-15,Bar staff service,9.0
2024-09-15,Cleanliness,
2024-09-15,Hotel cleanliness,8.8
2024-09-15,Likelihood To Recommend,6.7
2024-09-15,Likelihood to Recommend,10.0
2024-09-15,Likelihood to Return,6.0
2024-09-15,Location,
2024-09-15,Overall Satisfaction with Service,7.6
2024-09-15,Overall Score,4.2
2024-09-15,Overall arrival experience,8.1
2024-09-15,Overall bar experience,8.8
2024-09-15,Overall departure experience,8.8
2024-09-15,Overall experience,
2024-09-15,Overall food & beverage,8.7
2024-09-15,Overall meeting and event experience,
2024-09-15,Overall restaurant experience,8.4
2024-09-15,Quality of food and beverage,8.2
2024-09-15,Restaurant staff service,9.6
2024-09-15,Rooms,
2024-09-15,Sample Size (Red = less than 75),10.0
2024-09-15,Sample size,21.0
2024-09-15,Service,
2024-09-15,Sleep Quality,
2024-09-15,Staff service,
2024-09-15,Value,
2024-09-15,Value for Price,5.3
2024-09-15,Working order of hotel amenities,5.9
2024-09-22,Bar staff service,8.8
2024-09-22,Cleanliness,
2024-09-22,Hotel cleanliness,6.8
2024-09-22,Likelihood To Recommend,5.3
2024-09-22,Likelihood to Recommend,-46.2
2024-09-22,Likelihood to Return,4.0
2024-09-22,Location,
2024-09-22,Overall Satisfaction with Service,6.0
2024-09-22,Overall Score,3.5
2024-09-22,Overall arrival experience,6.2
2024-09-22,Overall bar experience,7.9
2024-09-22,Overall departure experience,7.4
2024-09-22,Overall experience,6.0
2024-09-22,Overall food & beverage,6.1
2024-09-22,Overall meeting and event experience,
2024-09-22,Overall restaurant experience,6.5
2024-09-22,Quality of food and beverage,8.1
2024-09-22,Restaurant staff service,7.5
2024-09-22,Rooms,
2024-09-22,Sample Size (Red = less than 75),13.0
2024-09-22,Sample size,18.0
2024-09-22,Service,
2024-09-22,Sleep Quality,
2024-09-22,Staff service,6.0
2024-09-22,Value,
2024-09-22,Value for Price,4.0
2024-09-22,Working order of hotel amenities,6.5
2024-09-29,Bar staff service,5.0
2024-09-29,Cleanliness,
2024-09-29,Hotel cleanliness,6.0
2024-09-29,Likelihood To Recommend,4.9
2024-09-29,Likelihood to Recommend,-38.5
2024-09-29,Likelihood to Return,4.2
2024-09-29,Location,
2024-09-29,Overall Satisfaction with Service,5.8
2024-09-29,Overall Score,3.7
2024-09-29,Overall arrival experience,6.2
2024-09-29,Overall bar experience,4.4
2024-09-29,Overall departure experience,7.3
2024-09-29,Overall experience,5.0
2024-09-29,Overall food & beverage,5.7
2024-09-29,Overall meeting and event experience,5.0
2024-09-29,Overall restaurant experience,4.2
2024-09-29,Quality of food and beverage,5.9
2024-09-29,Restaurant staff service,4.7
2024-09-29,Rooms,
2024-09-29,Sample Size (Red = less than 75),13.0
2024-09-29,Sample size,12.0
2024-09-29,Service,
2024-09-29,Sleep Quality,
2024-09-29,Staff service,5.0
2024-09-29,Value,
2024-09-29,Value for Price,3.8
2024-09-29,Working order of hotel amenities,5.6
2024-10-06,Bar staff service,7.0
2024-10-06,Cleanliness,
2024-10-06,Hotel cleanliness,7.3
2024-10-06,Likelihood To Recommend,5.4
2024-10-06,Likelihood to Recommend,-8.3
2024-10-06,Likelihood to Return,4.3
2024-10-06,Location,
2024-10-06,Overall Satisfaction with Service,6.0
2024-10-06,Overall Score,4.4
2024-10-06,Overall arrival experience,6.5
2024-10-06,Overall bar experience,7.6
2024-10-06,Overall departure experience,7.8
2024-10-06,Overall experience,8.0
2024-10-06,Overall food & beverage,7.7
2024-10-06,Overall meeting and event experience,
2024-10-06,Overall restaurant experience,7.7
2024-10-06,Quality of food and beverage,8.4
2024-10-06,Restaurant staff service,7.7
2024-10-06,Rooms,
2024-10-06,Sample Size (Red = less than 75),12.0
2024-10-06,Sample size,17.0
2024-10-06,Service,
2024-10-06,Sleep Quality,
2024-10-06,Staff service,8.0
2024-10-06,Value,
2024-10-06,Value for Price,4.8
2024-10-06,Working order of hotel amenities,6.6
2024-10-13,Bar staff service,8.4
2024-10-13,Cleanliness,
2024-10-13,Hotel cleanliness,8.2
2024-10-13,Likelihood To Recommend,7.1
2024-10-13,Likelihood to Recommend,0.0
2024-10-13,Likelihood to Return,6.4
2024-10-13,Location,
2024-10-13,Overall Satisfaction with Service,7.6
2024-10-13,Overall Score,4.7
2024-10-13,Overall arrival experience,8.2
2024-10-13,Overall bar experience,7.0
2024-10-13,Overall departure experience,8.2
2024-10-13,Overall experience,9.0
2024-10-13,Overall food & beverage,8.1
2024-10-13,Overall meeting and event experience,7.0
2024-10-13,Overall restaurant experience,8.0
2024-10-13,Quality of food and beverage,8.6
2024-10-13,Restaurant staff service,8.3
2024-10-13,Rooms,
2024-10-13,Sample Size (Red = less than 75),11.0
2024-10-13,Sample size,15.0
2024-10-13,Service,
2024-10-13,Sleep Quality,
2024-10-13,Staff service,9.5
2024-10-13,Value,
2024-10-13,Value for Price,5.8
2024-10-13,Working order of hotel amenities,7.9
2024-10-20,Bar staff service,5.4
2024-10-20,Cleanliness,5.0
2024-10-20,Hotel cleanliness,7.3
2024-10-20,Likelihood To Recommend,6.9
2024-10-20,Likelihood to Recommend,0.0
2024-10-20,Likelihood to Return,5.5
2024-10-20,Location,2.0
2024-10-20,Overall Satisfaction with Service,8.1
2024-10-20,Overall Score,4.2
2024-10-20,Overall arrival experience,8.3
2024-10-20,Overall bar experience,6.5
2024-10-20,Overall departure experience,8.5
2024-10-20,Overall experience,7.0
2024-10-20,Overall food & beverage,6.9
2024-10-20,Overall meeting and event experience,
2024-10-20,Overall restaurant experience,7.3
2024-10-20,Quality of food and beverage,7.0
2024-10-20,Restaurant staff service,8.2
2024-10-20,Rooms,5.0
2024-10-20,Sample Size (Red = less than 75),15.0
2024-10-20,Sample size,16.0
2024-10-20,Service,4.0
2024-10-20,Sleep Quality,3.0
2024-10-20,Staff service,9.3
2024-10-20,Value,3.0
2024-10-20,Value for Price,6.0
2024-10-20,Working order of hotel amenities,7.7
2024-10-27,Bar staff service,8.3
2024-10-27,Cleanliness,3.0
2024-10-27,Hotel cleanliness,6.5
2024-10-27,Likelihood To Recommend,5.6
2024-10-27,Likelihood to Recommend,-26.7
2024-10-27,Likelihood to Return,4.7
2024-10-27,Location,4.0
2024-10-27,Overall Satisfaction with Service,6.7
2024-10-27,Overall Score,3.8
2024-10-27,Overall arrival experience,6.9
2024-10-27,Overall bar experience,8.3
2024-10-27,Overall departure experience,8.2
2024-10-27,Overall experience,7.0
2024-10-27,Overall food & beverage,7.5
2024-10-27,Overall meeting and event experience,8.7
2024-10-27,Overall restaurant experience,8.6
2024-10-27,Quality of food and beverage,7.9
2024-10-27,Restaurant staff service,8.4
2024-10-27,Rooms,2.0
2024-10-27,Sample Size (Red = less than 75),15.0
2024-10-27,Sample size,9.0
2024-10-27,Service,1.0
2024-10-27,Sleep Quality,1.0
2024-10-27,Staff service,9.5
2024-10-27,Value,1.0
2024-10-27,Value for Price,5.1
2024-10-27,Working order of hotel amenities,6.1
2024-11-03,Bar staff service,7.2
2024-11-03,Cleanliness,
2024-11-03,Hotel cleanliness,7.2
2024-11-03,Likelihood To Recommend,6.0
2024-11-03,Likelihood to Recommend,-33.3
2024-11-03,Likelihood to Return,4.8
2024-11-03,Location,
2024-11-03,Overall Satisfaction with Service,5.8
2024-11-03,Overall Score,3.4
2024-11-03,Overall arrival experience,7.2
2024-11-03,Overall bar experience,7.0
2024-11-03,Overall departure experience,7.0
2024-11-03,Overall experience,7.0
2024-11-03,Overall food & beverage,7.0
2024-11-03,Overall meeting and event experience,8.0
2024-11-03,Overall restaurant experience,7.3
2024-11-03,Quality of food and beverage,6.8
2024-11-03,Restaurant staff service,7.7
2024-11-03,Rooms,
2024-11-03,Sample Size (Red = less than 75),6.0
2024-11-03,Sample size,10.0
2024-11-03,Service,
2024-11-03,Sleep Quality,
2024-11-03,Staff service,7.0
2024-11-03,Value,
2024-11-03,Value for Price,4.7
2024-11-03,Working order of hotel amenities,5.5
2024-11-10,Bar staff service,7.0
2024-11-10,Cleanliness,3.0
2024-11-10,Hotel cleanliness,7.7
2024-11-10,Likelihood To Recommend,5.0
2024-11-10,Likelihood to Recommend,-28.6
2024-11-10,Likelihood to Return,4.4
2024-11-10,Location,4.0
2024-11-10,Overall Satisfaction with Service,5.1
2024-11-10,Overall Score,3.0
2024-11-10,Overall arrival experience,5.9
2024-11-10,Overall bar experience,6.5
2024-11-10,Overall departure experience,5.9
2024-11-10,Overall experience,6.0
2024-11-10,Overall food & beverage,6.0
2024-11-10,Overall meeting and event experience,
2024-11-10,Overall restaurant experience,6.2
2024-11-10,Quality of food and beverage,6.5
2024-11-10,Restaurant staff service,6.2
2024-11-10,Rooms,3.0
2024-11-10,Sample Size (Red = less than 75),7.0
2024-11-10,Sample size,13.0
2024-11-10,Service,1.0
2024-11-10,Sleep Quality,3.0
2024-11-10,Staff service,8.0
2024-11-10,Value,1.0
2024-11-10,Value for Price,5.3
2024-11-10,Working order of hotel amenities,7.0
2024-11-17,Bar staff service,7.2
2024-11-17,Cleanliness,3.5
2024-11-17,Hotel cleanliness,8.0
2024-11-17,Likelihood To Recommend,6.5
2024-11-17,Likelihood to Recommend,-15.4
2024-11-17,Likelihood to Return,5.5
2024-11-17,Location,3.5
2024-11-17,Overall Satisfaction with Service,7.8
2024-11-17,Overall Score,4.2
2024-11-17,Overall arrival experience,7.5
2024-11-17,Overall bar experience,7.6
2024-11-17,Overall departure experience,8.4
2024-11-17,Overall experience,7.0
2024-11-17,Overall food & beverage,7.9
2024-11-17,Overall meeting and event experience,10.0
2024-11-17,Overall restaurant experience,8.6
2024-11-17,Quality of food and beverage,8.8
2024-11-17,Restaurant staff service,8.8
2024-11-17,Rooms,2.5
2024-11-17,Sample Size (Red = less than 75),13.0
2024-11-17,Sample size,12.0
2024-11-17,Service,1.0
2024-11-17,Sleep Quality,2.0
2024-11-17,Staff service,8.0
2024-11-17,Value,2.5
2024-11-17,Value for Price,5.7
2024-11-17,Working order of hotel amenities,6.2
2024-11-24,Bar staff service,9.4
2024-11-24,Cleanliness,1.0
2024-11-24,Hotel cleanliness,9.9
2024-11-24,Likelihood To Recommend,9.3
2024-11-24,Likelihood to Recommend,70.0
2024-11-24,Likelihood to Return,9.3
2024-11-24,Location,4.0
2024-11-24,Overall Satisfaction with Service,9.6
2024-11-24,Overall Score,3.1
2024-11-24,Overall arrival experience,9.9
2024-11-24,Overall bar experience,9.2
2024-11-24,Overall departure experience,9.9
2024-11-24,Overall experience,10.0
2024-11-24,Overall food & beverage,9.0
2024-11-24,Overall meeting and event experience,
2024-11-24,Overall restaurant experience,9.0
2024-11-24,Quality of food and beverage,9.0
2024-11-24,Restaurant staff service,9.8
2024-11-24,Rooms,1.0
2024-11-24,Sample Size (Red = less than 75),10.0
2024-11-24,Sample size,8.0
2024-11-24,Service,1.0
2024-11-24,Sleep Quality,1.0
2024-11-24,Staff service,10.0
2024-11-24,Value,1.0
2024-11-24,Value for Price,8.0
2024-11-24,Working order of hotel amenities,9.1
2024-12-01,Bar staff service,8.5
2024-12-01,Cleanliness,3.0
2024-12-01,Hotel cleanliness,9.8
2024-12-01,Likelihood To Recommend,9.2
2024-12-01,Likelihood to Recommend,66.7
2024-12-01,Likelihood to Return,8.8
2024-12-01,Location,4.0
2024-12-01,Overall Satisfaction with Service,9.7
2024-12-01,Overall Score,4.6
2024-12-01,Overall arrival experience,10.0
2024-12-01,Overall bar experience,8.0
2024-12-01,Overall departure experience,9.7
2024-12-01,Overall experience,
2024-12-01,Overall food & beverage,9.2
2024-12-01,Overall meeting and event experience,
2024-12-01,Overall restaurant experience,8.3
2024-12-01,Quality of food and beverage,8.0
2024-12-01,Restaurant staff service,8.3
2024-12-01,Rooms,2.0
2024-12-01,Sample Size (Red = less than 75),6.0
2024-12-01,Sample size,5.0
2024-12-01,Service,2.0
2024-12-01,Sleep Quality,3.0
2024-12-01,Staff service,
2024-12-01,Value,1.0
2024-12-01,Value for Price,8.3
2024-12-01,Working order of hotel amenities,8.7
2024-12-08,Bar staff service,8.3
2024-12-08,Cleanliness,2.0
2024-12-08,Hotel cleanliness,6.7
2024-12-08,Likelihood To Recommend,6.2
2024-12-08,Likelihood to Recommend,20.0
2024-12-08,Likelihood to Return,6.0
2024-12-08,Location,5.0
2024-12-08,Overall Satisfaction with Service,6.9
2024-12-08,Overall Score,3.1
2024-12-08,Overall arrival experience,7.1
2024-12-08,Overall bar experience,6.8
2024-12-08,Overall departure experience,8.2
2024-12-08,Overall experience,10.0
2024-12-08,Overall food & beverage,7.1
2024-12-08,Overall meeting and event experience,10.0
2024-12-08,Overall restaurant experience,7.4
2024-12-08,Quality of food and beverage,7.2
2024-12-08,Restaurant staff service,8.4
2024-12-08,Rooms,1.0
2024-12-08,Sample Size (Red = less than 75),10.0
2024-12-08,Sample size,6.0
2024-12-08,Service,1.0
2024-12-08,Sleep Quality,3.0
2024-12-08,Staff service,8.5
2024-12-08,Value,1.0
2024-12-08,Value for Price,6.0
2024-12-08,Working order of hotel amenities,7.3
2024-12-15,Bar staff service,9.5
2024-12-15,Cleanliness,
2024-12-15,Hotel cleanliness,9.5
2024-12-15,Likelihood To Recommend,7.8
2024-12-15,Likelihood to Recommend,33.3
2024-12-15,Likelihood to Return,7.2
2024-12-15,Location,
2024-12-15,Overall Satisfaction with Service,8.2
2024-12-15,Overall Score,4.3
2024-12-15,Overall arrival experience,7.7
2024-12-15,Overall bar experience,9.5
2024-12-15,Overall departure experience,9.2
2024-12-15,Overall experience,7.5
2024-12-15,Overall food & beverage,9.2
2024-12-15,Overall meeting and event experience,10.0
2024-12-15,Overall restaurant experience,10.0
2024-12-15,Quality of food and beverage,10.0
2024-12-15,Restaurant staff service,10.0
2024-12-15,Rooms,
2024-12-15,Sample Size (Red = less than 75),6.0
2024-12-15,Sample size,11.0
2024-12-15,Service,
2024-12-15,Sleep Quality,
2024-12-15,Staff service,10.0
2024-12-15,Value,
2024-12-15,Value for Price,7.8
2024-12-15,Working order of hotel amenities,8.2
2024-12-22,Bar staff service,7.0
2024-12-22,Cleanliness,
2024-12-22,Hotel cleanliness,6.7
2024-12-22,Likelihood To Recommend,6.3
2024-12-22,Likelihood to Recommend,16.7
2024-12-22,Likelihood to Return,6.0
2024-12-22,Location,
2024-12-22,Overall Satisfaction with Service,7.2
2024-12-22,Overall Score,4.3
2024-12-22,Overall arrival experience,7.8
2024-12-22,Overall bar experience,7.0
2024-12-22,Overall departure experience,8.0
2024-12-22,Overall experience,6.0
2024-12-22,Overall food & beverage,6.6
2024-12-22,Overall meeting and event experience,
2024-12-22,Overall restaurant experience,7.6
2024-12-22,Quality of food and beverage,7.2
2024-12-22,Restaurant staff service,7.8
2024-12-22,Rooms,
2024-12-22,Sample Size (Red = less than 75),6.0
2024-12-22,Sample size,18.0
2024-12-22,Service,
2024-12-22,Sleep Quality,
2024-12-22,Staff service,6.0
2024-12-22,Value,
2024-12-22,Value for Price,5.0
2024-12-22,Working order of hotel amenities,6.2
2024-12-29,Bar staff service,8.1
2024-12-29,Cleanliness,
2024-12-29,Hotel cleanliness,8.5
2024-12-29,Likelihood To Recommend,6.9
2024-12-29,Likelihood to Recommend,0.0
2024-12-29,Likelihood to Return,6.3
2024-12-29,Location,
2024-12-29,Overall Satisfaction with Service,7.7
2024-12-29,Overall Score,3.1
2024-12-29,Overall arrival experience,7.5
2024-12-29,Overall bar experience,7.9
